ARO Term,ARO Accession,Reference Model Type,Reference DB,Resistomes & Variants: Observed Pathogen(s),AMR Gene Family,Drug Class,Resistance Mechanism
TEM-70,3000936,protein homolog model,CARD,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-156,3001022,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-176,3001041,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
OXA-443,3003599,protein homolog model,CARD; Resistomes & Variants,Ralstonia mannitolilytica,OXA beta-lactamase; OXA-22-like beta-lactamase,cephalosporin; penam,antibiotic inactivation
PDC-168,3006547,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-105,3005277,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-28,3005156,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-141,3006518,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-69,3005153,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-16,3006538,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
DES-1,3004780,protein homolog model,CARD,Desulfovibrio desulfuricans,DES beta-lactamase,penam,antibiotic inactivation
erm(46),3004596,protein homolog model,Resistomes & Variants,Rhodococcus pyridinivorans,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,antibiotic target alteration
nimD,3007106,protein homolog model,Resistomes & Variants,Bacteroides ovatus,nitroimidazole reductase,nitroimidazole antibiotic,antibiotic inactivation
Sed-1,3003561,protein homolog model,CARD,Citrobacter sedlakii,Sed beta-lactamase,cephalosporin; penam; penem,antibiotic inactivation
blaS1,3005111,protein homolog model,CARD,Mycolicibacterium smegmatis,blaS,cephalosporin; cephamycin; penam,antibiotic inactivation
SGM-5,3006991,protein homolog model,CARD,"Bacteria, Viruses,",SGM beta-lactamase,carbapenem,antibiotic inactivation
LnuH,3004600,protein homolog model,CARD; Resistomes & Variants,Riemerella anatipestifer; Elizabethkingia anophelis; Glaesserella parasuis,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation
OXA-780,3005983,protein homolog model,Resistomes & Variants,Aeromonas caviae,OXA beta-lactamase,penam,antibiotic inactivation
AXC-3,3006899,protein homolog model,Resistomes & Variants,Achromobacter xylosoxidans,AXC beta-lactamase,carbapenem,antibiotic inactivation
dfrA12,3002858,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
OKP-B-7,3002440,protein homolog model,Resistomes & Variants,Klebsiella quasipneumoniae,OKP beta-lactamase,cephalosporin; penam,antibiotic inactivation
OXA-50,3001796,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,OXA beta-lactamase; OXA-50-like beta-lactamase,cephalosporin; penam,antibiotic inactivation
msrH,3005088,protein homolog model,CARD; Resistomes & Variants,Macrococcus canis,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection
APH(2'')-IIa,3002635,protein homolog model,Resistomes & Variants,Campylobacter coli,APH(2''),aminoglycoside antibiotic,antibiotic inactivation
TEM-33,3000903,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-32,3000902,protein homolog model,Resistomes & Variants,Proteus mirabilis; Shigella sonnei,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
PDC-464,3005291,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
cmrA,3002702,protein homolog model,CARD,Rhodococcus rhodochrous,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
MSI-1,3003718,protein homolog model,CARD,Massilia sp.,MSI beta-lactamase,carbapenem,antibiotic inactivation
FosA,3000149,protein homolog model,Resistomes & Variants,Pseudomonas putida,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation
MOX-9,3002191,protein homolog model,CARD; Resistomes & Variants,Citrobacter freundii; Aeromonas veronii,MOX beta-lactamase,cephalosporin; cephamycin; penam,antibiotic inactivation
FOX-12,3002165,protein homolog model,CARD,Aeromonas caviae,FOX beta-lactamase,cephalosporin; cephamycin,antibiotic inactivation
FOX-13,3006471,protein homolog model,CARD,Providencia rettgeri,FOX beta-lactamase,cephalosporin; cephamycin,antibiotic inactivation
FOX-8,3002161,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,FOX beta-lactamase,cephalosporin; cephamycin,antibiotic inactivation
FOX-14,3006472,protein homolog model,Resistomes & Variants,Providencia rettgeri,FOX beta-lactamase,cephalosporin; cephamycin,antibiotic inactivation
FosB3,3002873,protein homolog model,CARD; Resistomes & Variants,Enterococcus faecium; Enterococcus faecalis; Staphylococcus aureus,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation
FosB5,3004672,protein homolog model,CARD,Staphylococcus aureus,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation
CfiA14,3006908,protein homolog model,CARD; Resistomes & Variants,Bacteroides fragilis,CfiA beta-lactamase,carbapenem,antibiotic inactivation
OXA-90,3001650,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,OXA beta-lactamase; OXA-51-like beta-lactamase,carbapenem; penam,antibiotic inactivation
RanB,3005090,protein homolog model,Resistomes & Variants,Riemerella anatipestifer,ATP-binding cassette (ABC) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux
tet(43),3000573,protein homolog model,CARD,uncultured bacterium,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
erm(56),3007654,protein homolog model,CARD,Trueperella pyogenes,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic,antibiotic target alteration
TEM-217,3001394,protein homolog model,CARD,Enterobacter cloacae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
CTX-M-219,3005642,protein homolog model,CARD,Klebsiella pneumoniae,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation
PDC-241,3006619,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-348,3006717,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-371,3006742,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-457,3006824,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-158,3006536,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-10,3002509,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-98,3006851,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
CTX-M-126,3001985,protein homolog model,CARD,Escherichia coli,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation
CTX-M-85,3002495,protein homolog model,CARD,Salmonella enterica,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation
Erm(33),3000599,protein homolog model,CARD,Mammaliicoccus sciuri,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
ACT-49,3006244,protein homolog model,CARD,"Bacteria, Viruses,",ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
ACT-24,3001844,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
PDC-253,3006632,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
ALG6-1,3006893,protein homolog model,CARD,uncultured bacterium,ALG6 beta-lactamases,carbapenem,antibiotic inactivation
OKP-B-6,3002439,protein homolog model,Resistomes & Variants,Klebsiella quasipneumoniae,OKP beta-lactamase,cephalosporin; penam,antibiotic inactivation
erm(32),3004592,protein homolog model,CARD,Streptomyces fradiae,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,antibiotic target alteration
AAC(6')-Ic,3002549,protein homolog model,Resistomes & Variants,Serratia marcescens,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
PAM-3,3007201,protein homolog model,CARD,Pseudomonas tohonis,PAM beta-lactamase,carbapenem; cephalosporin,antibiotic inactivation
L1 beta-lactamase,3000582,protein homolog model,Resistomes & Variants,Stenotrophomonas maltophilia,L1 family beta-lactamase,cephalosporin,antibiotic inactivation
OXA-943,3006123,protein homolog model,CARD,Acinetobacter pittii,OXA beta-lactamase; OXA-213-like beta-lactamase,carbapenem; penam,antibiotic inactivation
OXA-942,3006122,protein homolog model,Resistomes & Variants,Acinetobacter pittii,OXA beta-lactamase; OXA-213-like beta-lactamase,carbapenem; penam,antibiotic inactivation
OXA-826,3006023,protein homolog model,Resistomes & Variants,Acinetobacter pittii,OXA beta-lactamase; OXA-213-like beta-lactamase,carbapenem; penam,antibiotic inactivation
CTX-M-86,3001946,protein homolog model,CARD,Salmonella enterica,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation
PDC-19b,3005292,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-202,3006581,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-19a,3005295,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
ADC-245,3006415,protein homolog model,Resistomes & Variants,Acinetobacter pittii,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin,antibiotic inactivation
ADC-149,3006323,protein homolog model,Resistomes & Variants,Acinetobacter pittii,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin,antibiotic inactivation
ADC-181,3005244,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation
CTX-M-130,3001989,protein homolog model,Resistomes & Variants,Escherichia coli; Salmonella enterica; Shigella flexneri,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation
lnuG,3004085,protein homolog model,Resistomes & Variants,Enterococcus faecium,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation
MOX-8,3002190,protein homolog model,Resistomes & Variants,Aeromonas caviae,MOX beta-lactamase,cephalosporin; cephamycin; penam,antibiotic inactivation
CTX-M-122,3001981,protein homolog model,CARD,Escherichia coli,CTX-M beta-lactamase,cephalosporin,antibiotic inactivation
lsaE,3003206,protein homolog model,Resistomes & Variants,Streptococcus suis,lsa-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic,antibiotic target protection
PDC-31,3006680,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
CAE-1,3007635,protein homolog model,CARD,Comamonas aquatica,CAE beta-lactamase,cephalosporin; penam,antibiotic inactivation
EXO-1,3003564,protein homolog model,CARD,Streptomyces albus,EXO beta-lactamase,penam,antibiotic inactivation
vanS gene in vanP cluster,3007192,protein homolog model,CARD,Enterococcus faecium,vanS; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
vanB,3000013,protein homolog model,Resistomes & Variants,Enterococcus faecalis,glycopeptide resistance gene cluster; Van ligase,glycopeptide antibiotic,antibiotic target alteration
TEM-237,3005268,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
OXA-457,3003613,protein homolog model,CARD,Achromobacter sp.,OXA beta-lactamase,penam,antibiotic inactivation
OXA-459,3003615,protein homolog model,CARD,Achromobacter insuavis,OXA beta-lactamase,penam,antibiotic inactivation
OXA-243,3001610,protein homolog model,Resistomes & Variants,Achromobacter xylosoxidans,OXA beta-lactamase,penam,antibiotic inactivation
tmrB,3003059,protein homolog model,Resistomes & Variants,Bacillus subtilis,tunicamycin resistance protein,nucleoside antibiotic,reduced permeability to antibiotic
OXA-778,3005982,protein homolog model,CARD,Acinetobacter pittii,OXA beta-lactamase; OXA-213-like beta-lactamase,carbapenem; penam,antibiotic inactivation
OXA-820,3006018,protein homolog model,Resistomes & Variants,Acinetobacter pittii,OXA beta-lactamase; OXA-213-like beta-lactamase,carbapenem; penam,antibiotic inactivation
OXA-644,3005864,protein homolog model,CARD,Acinetobacter johnsonii,OXA beta-lactamase; OXA-211-like beta-lactamase,carbapenem; penam,antibiotic inactivation
OXA-645,3005865,protein homolog model,CARD,Acinetobacter johnsonii,OXA beta-lactamase; OXA-211-like beta-lactamase,carbapenem; penam,antibiotic inactivation
PDC-154,3006532,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-198,3006577,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-419,3006788,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-129,3006505,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
ACT-54,3006249,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
PDC-240,3005143,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
oleI,3000866,protein homolog model,CARD,Streptomyces antibioticus,ole glycosyltransferase,macrolide antibiotic,antibiotic inactivation
lsaB,3003111,protein homolog model,CARD; Resistomes & Variants,Mammaliicoccus sciuri; Staphylococcus haemolyticus,lsa-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic,antibiotic target protection
arr-2,3002847,protein homolog model,Resistomes & Variants,Citrobacter werkmanii,rifampin ADP-ribosyltransferase (Arr),rifamycin antibiotic,antibiotic inactivation
dfrA7,3002862,protein homolog model,Resistomes & Variants,Escherichia coli; Klebsiella pneumoniae,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
QnrB5,3002719,protein homolog model,Resistomes & Variants,Escherichia coli,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection
vanR gene in vanE cluster,3002924,protein homolog model,Resistomes & Variants,Enterococcus faecalis,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration
rgt1438,3002883,protein homolog model,CARD,Streptomyces sp.,rifampin glycosyltransferase,rifamycin antibiotic,antibiotic inactivation
TEM-207,3001384,protein homolog model,CARD; Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
vanR gene in vanF cluster,3002925,protein homolog model,CARD,Paenibacillus popilliae,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration
MCR-1.11,3004688,protein homolog model,CARD; Resistomes & Variants,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-1.7,3004686,protein homolog model,CARD; Resistomes & Variants,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-1.12,3004689,protein homolog model,CARD,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-1.2,3004194,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae; Escherichia coli; Klebsiella quasipneumoniae,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-1.3,3004514,protein homolog model,CARD,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-1.27,3007232,protein homolog model,CARD,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-1.23,3007234,protein homolog model,CARD,Salmonella enterica,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-1.21,3007237,protein homolog model,CARD,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-1.17,3007244,protein homolog model,CARD,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-1.31,3007245,protein homolog model,CARD,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-1.14,3007246,protein homolog model,CARD,Klebsiella pneumoniae,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-1.25,3007247,protein homolog model,CARD,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-1.32,3007289,protein homolog model,CARD; Resistomes & Variants,Escherichia coli; Klebsiella pneumoniae,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
Clostridioides difficile cplR,3007637,protein homolog model,CARD,Clostridioides difficile,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; nucleoside antibiotic,antibiotic target protection
APH(3')-Ib,3002642,protein homolog model,Resistomes & Variants,Burkholderia vietnamiensis; Escherichia coli; Pseudomonas aeruginosa; Enterobacter asburiae; Klebsiella quasipneumoniae; Moraxella osloensis; Pseudomonas monteilii; Serratia marcescens,APH(3'),aminoglycoside antibiotic,antibiotic inactivation
TEM-34,3000904,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
TEM-105,3000968,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
MCR-1.33,3007070,protein homolog model,Resistomes & Variants,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-1.4,3004515,protein homolog model,Resistomes & Variants,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
OXY-2-4,3002399,protein homolog model,Resistomes & Variants,Klebsiella oxytoca,OXY beta-lactamase,monobactam; cephalosporin; penam,antibiotic inactivation
OXY-2-7,3002402,protein homolog model,Resistomes & Variants,Klebsiella oxytoca,OXY beta-lactamase,monobactam; cephalosporin; penam,antibiotic inactivation
CfiA24,3006916,protein homolog model,CARD,Bacteroides fragilis,CfiA beta-lactamase,carbapenem,antibiotic inactivation
CfiA4,3006919,protein homolog model,CARD; Resistomes & Variants,Bacteroides; Bacteroides fragilis,CfiA beta-lactamase,carbapenem,antibiotic inactivation
CfiA11,3006907,protein homolog model,Resistomes & Variants,Bacteroides fragilis,CfiA beta-lactamase,carbapenem,antibiotic inactivation
OKP-B-40,3006149,protein homolog model,Resistomes & Variants,Klebsiella quasipneumoniae,OKP beta-lactamase,cephalosporin; penam,antibiotic inactivation
pgpB,3003920,protein homolog model,Resistomes & Variants,Porphyromonas gingivalis,lipid A phosphatase,peptide antibiotic,antibiotic target alteration
PDC-275,3006649,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
Erm(50),3007032,protein homolog model,CARD,Cutibacterium acnes,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,antibiotic target alteration
oleD,3000865,protein homolog model,CARD,Streptomyces antibioticus,ole glycosyltransferase,macrolide antibiotic,antibiotic inactivation
tap,3000343,protein homolog model,Resistomes & Variants,Mycolicibacterium septicum,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
PDC-188,3006567,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-46,3006827,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
OKP-A-9,3002426,protein homolog model,CARD; Resistomes & Variants,Klebsiella pneumoniae; Klebsiella quasipneumoniae,OKP beta-lactamase,cephalosporin; penam,antibiotic inactivation
PDC-356,3006725,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-359,3006728,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
CMY-83,3002096,protein homolog model,CARD,Citrobacter braakii,CMY beta-lactamase,cephamycin,antibiotic inactivation
MIR-3,3002169,protein homolog model,CARD; Resistomes & Variants,Enterobacter cloacae; Enterobacter roggenkampii,MIR beta-lactamase,monobactam; cephalosporin,antibiotic inactivation
ACT-22,3001843,protein homolog model,CARD,Enterobacter cloacae,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
CFE-1,3001856,protein homolog model,CARD; Resistomes & Variants,Escherichia coli; Citrobacter freundii,CMY beta-lactamase,cephamycin,antibiotic inactivation
CMY-104,3002116,protein homolog model,CARD; Resistomes & Variants,Citrobacter sp.; Citrobacter freundii; Citrobacter portucalensis,CMY beta-lactamase,cephamycin,antibiotic inactivation
MIR-6,3002171,protein homolog model,CARD,Enterobacter cloacae,MIR beta-lactamase,monobactam; cephalosporin,antibiotic inactivation
CMY-53,3002064,protein homolog model,CARD,Escherichia coli,CMY beta-lactamase,cephamycin,antibiotic inactivation
CMY-101,3002113,protein homolog model,CARD,Escherichia coli,CMY beta-lactamase,cephamycin,antibiotic inactivation
ACT-12,3001834,protein homolog model,CARD,Enterobacter cloacae,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
CMY-82,3002095,protein homolog model,CARD; Resistomes & Variants,Citrobacter freundii,CMY beta-lactamase,cephamycin,antibiotic inactivation
MCR-3.4,3004691,protein homolog model,CARD,Klebsiella pneumoniae,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
BUT-1,3004294,protein homolog model,CARD,Buttiauxella agrestis,BUT beta-lactamase,cephalosporin,antibiotic inactivation
MCR-3.5,3004505,protein homolog model,CARD,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
CMY-161,3005187,protein homolog model,CARD,Escherichia coli,CMY beta-lactamase,cephamycin,antibiotic inactivation
BUT-2,3005558,protein homolog model,CARD,Buttiauxella agrestis,BUT beta-lactamase,cephalosporin,antibiotic inactivation
CMY-137,3006457,protein homolog model,CARD; Resistomes & Variants,Citrobacter; Citrobacter freundii,CMY beta-lactamase,cephamycin,antibiotic inactivation
CMY-169,3006461,protein homolog model,CARD,Providencia rettgeri,CMY beta-lactamase,cephamycin,antibiotic inactivation
MIR-18,3003139,protein homolog model,CARD; Resistomes & Variants,Enterobacter sp.; Enterobacter roggenkampii,MIR beta-lactamase,monobactam; cephalosporin,antibiotic inactivation
MCR-3.1,3004139,protein homolog model,CARD,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-3.26,3007261,protein homolog model,CARD,Klebsiella pneumoniae,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-3.24,3007265,protein homolog model,CARD,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-3.29,3007272,protein homolog model,CARD,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
ADC-206,3006375,protein homolog model,Resistomes & Variants,Acinetobacter pittii,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin,antibiotic inactivation
MCR-3.36,3007257,protein homolog model,Resistomes & Variants,Aeromonas veronii,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
CMY-109,3002121,protein homolog model,Resistomes & Variants,Citrobacter freundii,CMY beta-lactamase,cephamycin,antibiotic inactivation
CMY-41,3002052,protein homolog model,Resistomes & Variants,Citrobacter freundii,CMY beta-lactamase,cephamycin,antibiotic inactivation
CMY-34,3002045,protein homolog model,Resistomes & Variants,Citrobacter portucalensis,CMY beta-lactamase,cephamycin,antibiotic inactivation
ACT-48,3006243,protein homolog model,Resistomes & Variants,Enterobacter chengduensis,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
ACT-6,3001825,protein homolog model,Resistomes & Variants,Enterobacter asburiae,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
CMY-145,3005197,protein homolog model,Resistomes & Variants,Escherichia coli,CMY beta-lactamase,cephamycin,antibiotic inactivation
MCR-3.2,3004511,protein homolog model,Resistomes & Variants,Escherichia coli,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-3.39,3007271,protein homolog model,Resistomes & Variants,Escherichia coli; Klebsiella pneumoniae,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
CMY-59,3002069,protein homolog model,Resistomes & Variants,Escherichia coli; Klebsiella pneumoniae,CMY beta-lactamase,cephamycin,antibiotic inactivation
MCR-3.20,3007266,protein homolog model,Resistomes & Variants,Escherichia coli; Klebsiella pneumoniae,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
CMY-32,3002043,protein homolog model,Resistomes & Variants,Escherichia coli,CMY beta-lactamase,cephamycin,antibiotic inactivation
DHA-10,3002141,protein homolog model,Resistomes & Variants,Morganella morganii,DHA beta-lactamase,cephalosporin; cephamycin,antibiotic inactivation
MCR-3.22,3007259,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae; Klebsiella quasipneumoniae,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MCR-3.21,3007262,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
MIR-5,3002170,protein homolog model,Resistomes & Variants,Enterobacter roggenkampii,MIR beta-lactamase,monobactam; cephalosporin,antibiotic inactivation
MIR-16,3002181,protein homolog model,Resistomes & Variants,Enterobacter roggenkampii,MIR beta-lactamase,monobactam; cephalosporin,antibiotic inactivation
MIR-17,3003173,protein homolog model,Resistomes & Variants,Enterobacter roggenkampii,MIR beta-lactamase,monobactam; cephalosporin,antibiotic inactivation
CfiA17,3006909,protein homolog model,CARD,Bacteroides fragilis,CfiA beta-lactamase,carbapenem,antibiotic inactivation
