Protein.identifier	Gene.symbol	Sequence.name	Scope	Element.type	Element.subtype	Class	Subclass	Method	Target.length	Reference.sequence.length	X..Coverage.of.reference.sequence	X..Identity.to.reference.sequence	Alignment.length	Accession.of.closest.sequence	Name.of.closest.sequence	HMM.id	HMM.description	Bin.ID	sample_id	Category	Specifics	Source	module	rack	Percentage.of.reads.mapping.to.taxonomic.identificatioin	Genus	Species	Completeness	Contamination	position
JNEFOB_08555	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTP	466	466	100	99.36	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_08560	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTP	144	144	100	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_11545	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_13240	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
JNEFOB_16345	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_003327525.1_ASM332752v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_04905	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_05305	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_17195	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19475	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTP	143	143	100	90.21	143	AAD11743.1	silver-binding protein SilE	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19480	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	491	491	100	98.17	491	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19485	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	98.67	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19490	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	461	461	100	98.26	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19495	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	117	117	100	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19500	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	430	430	100	98.14	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19505	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19515	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	815	824	98.79	95.59	816	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19535	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTP	605	605	100	99.83	605	CAA58525.1	multicopper oxidase PcoA	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19540	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	298	296	100	99.66	296	CAA58526.1	copper-binding protein PcoB	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19545	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100	100	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19550	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTP	309	309	100	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19555	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTP	226	226	100	100	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19560	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTP	466	466	100	99.36	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KHLFBG_19565	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTP	144	144	100	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA	GCA_003612015.1_ASM361201v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
KKOKFO_02145	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_02545	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10425	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTP	144	144	100	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10430	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTP	466	466	100	99.36	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10435	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTP	226	226	100	100	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10440	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTP	309	309	100	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10445	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100	100	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10450	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	298	296	100	99.66	296	CAA58526.1	copper-binding protein PcoB	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10455	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTP	605	605	100	99.83	605	CAA58525.1	multicopper oxidase PcoA	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10475	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	815	824	98.79	95.59	816	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10485	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10490	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	430	430	100	98.14	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10495	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	117	117	100	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10500	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	461	461	100	98.26	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10505	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	98.67	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10510	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	491	491	100	98.17	491	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_10515	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTP	143	143	100	90.21	143	AAD11743.1	silver-binding protein SilE	NA	NA	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KKOKFO_11070	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_036880505.1_ASM3688050v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 1	NA	NA			NA	NA	1
KLAELJ_02415	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	63.57	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_032014945.1_ASM3201494v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
KLAELJ_15335	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.22	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_032014945.1_ASM3201494v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
KLAELJ_18755	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	81.43	140	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_032014945.1_ASM3201494v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
LBNOPI_03560	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_036880465.1_ASM3688046v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
LBNOPI_08805	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_036880465.1_ASM3688046v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
LBNOPI_12370	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_036880465.1_ASM3688046v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 2	NA	NA			NA	NA	1
LIGLGL_05245	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	3D0892A_S188_L004_Mapped_To_coassembly_bin.002	3D0892A_S188_L004	ISS	ISS-Internal Surface	3DMM	node 2	4	81.3444	g_Pantoea	s_Pantoea piersonii	97.26	6.63	1
LIGLGL_10445	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	3D0892A_S188_L004_Mapped_To_coassembly_bin.002	3D0892A_S188_L004	ISS	ISS-Internal Surface	3DMM	node 2	4	81.3444	g_Pantoea	s_Pantoea piersonii	97.26	6.63	1
LIGLGL_16405	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	274	264	90.15	55.37	242	WP_032490761.1	class D beta-lactamase	NF000270.1	class D beta-lactamase	3D0892A_S188_L004_Mapped_To_coassembly_bin.002	3D0892A_S188_L004	ISS	ISS-Internal Surface	3DMM	node 2	4	81.3444	g_Pantoea	s_Pantoea piersonii	97.26	6.63	1
LMDDKN_03660	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18105	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTP	143	143	100	90.21	143	AAD11743.1	silver-binding protein SilE	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18110	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	491	491	100	98.17	491	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18115	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	98.67	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18120	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	461	461	100	98.26	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18125	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	117	117	100	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18130	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	430	430	100	98.14	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18135	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18145	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	815	824	98.79	95.59	816	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18165	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTP	605	605	100	99.83	605	CAA58525.1	multicopper oxidase PcoA	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18170	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	298	296	100	99.66	296	CAA58526.1	copper-binding protein PcoB	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18175	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100	100	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18180	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTP	309	309	100	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18185	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTP	226	226	100	100	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18190	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTP	466	466	100	99.36	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_18195	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTP	144	144	100	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_21335	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
LMDDKN_21735	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_013403175.1_ASM1340317v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
MPKCGI_01210	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTP	142	142	100	99.3	142	WP_002437790.1	FosB family fosfomycin resistance bacillithiol transferase	NF000063.1	FosB family fosfomycin resistance bacillithiol transferase	3D1374A_S332_L004_Mapped_To_coassembly_bin.010	3D1374A_S332_L004	ISS	ISS-Internal Surface	3DMM	node 3	3	75.2735	g_Pantoea	s_Pantoea piersonii	97.54	6.97	1
MPKCGI_10820	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	3D1374A_S332_L004_Mapped_To_coassembly_bin.010	3D1374A_S332_L004	ISS	ISS-Internal Surface	3DMM	node 3	3	75.2735	g_Pantoea	s_Pantoea piersonii	97.54	6.97	1
